month_year,bias,count,mean,std,min,25%,50%,75%,max
2016-06,Center ,14.0,5008.357142857143,2411.0117444484026,723.0,3781.5,5111.0,5927.75,10923.0
2016-06,Left ,41.0,5736.1463414634145,4231.483194820556,966.0,1578.0,5055.0,8279.0,17527.0
2016-06,Right ,30.0,4718.733333333334,2530.7794347051336,1319.0,2679.0,4455.5,6137.5,12192.0
2016-07,Center ,11.0,4520.363636363636,3233.396767262789,684.0,1694.0,5092.0,6163.0,11344.0
2016-07,Left ,62.0,6216.870967741936,4112.367494437632,444.0,2760.25,5491.5,9677.5,16268.0
2016-07,Right ,38.0,3960.0526315789475,1833.9918498355323,534.0,2612.5,4259.5,5323.75,7320.0
2016-08,Center ,18.0,4661.277777777777,2327.253008454276,449.0,3565.75,5056.0,5926.75,9574.0
2016-08,Left ,54.0,5265.574074074074,3670.777073672301,549.0,1655.75,5007.5,7241.5,14572.0
2016-08,Right ,36.0,3795.0,2403.395942649246,909.0,2058.5,2872.0,5611.25,10795.0
2016-09,Center ,20.0,5317.65,4912.2595430637675,283.0,1007.5,4395.5,7790.75,19261.0
2016-09,Left ,49.0,6148.142857142857,3908.0254285252545,540.0,3378.0,5597.0,8280.0,16315.0
2016-09,Right ,35.0,4209.228571428572,1856.5114515531272,689.0,2562.5,4312.0,5291.0,8576.0
2016-10,Center ,17.0,3287.235294117647,2452.4284018450917,360.0,857.0,2936.0,5256.0,8000.0
2016-10,Left ,48.0,5695.5,3554.3862264543664,844.0,2426.5,5488.0,7835.25,15655.0
2016-10,Right ,36.0,4862.0,2920.3334643251173,789.0,2746.25,4519.5,6416.5,13022.0
2016-11,Center ,29.0,4286.3448275862065,3508.2512765912925,350.0,1394.0,3296.0,5440.0,13943.0
2016-11,Left ,56.0,4752.732142857143,3834.5520183580124,294.0,1724.75,3856.0,6667.25,17616.0
2016-11,Right ,37.0,3786.5945945945946,1987.598096243854,531.0,2113.0,4095.0,5464.0,7823.0
2016-12,Center ,25.0,4269.08,1813.1409882668622,353.0,2972.0,4253.0,5996.0,6657.0
2016-12,Left ,52.0,4510.346153846154,3658.1059380912748,338.0,1281.25,3135.5,7170.75,15300.0
2016-12,Right ,37.0,3346.2972972972975,2647.520945933981,531.0,1332.0,2201.0,5084.0,12502.0
2017-01,Center ,18.0,5564.111111111111,4329.2152106206595,743.0,2123.25,5207.5,6769.5,17072.0
2017-01,Left ,56.0,6712.857142857143,3902.427158151107,700.0,3384.25,7147.0,8600.0,16292.0
2017-01,Right ,37.0,4246.1621621621625,2531.460289081224,864.0,2486.0,3678.0,5560.0,11891.0
2017-02,Center ,23.0,4243.086956521739,2677.6307524825597,454.0,2124.0,4436.0,6012.0,9665.0
2017-02,Left ,51.0,5214.117647058823,3847.108798290263,334.0,2216.0,4544.0,7357.0,16718.0
2017-02,Right ,36.0,3531.3055555555557,1906.2882830920325,713.0,2080.25,2747.5,4985.25,8191.0
2017-03,Center ,22.0,5056.636363636364,3502.6614037173085,340.0,1395.75,6024.5,7027.75,13134.0
2017-03,Left ,54.0,5759.166666666667,3912.8845835458706,560.0,2430.25,5464.5,7928.75,19836.0
2017-03,Right ,34.0,4087.794117647059,2389.183032416853,870.0,2112.0,3429.5,5756.75,9471.0
2017-04,Center ,19.0,3042.157894736842,2726.540629995736,347.0,532.5,2978.0,5127.0,8013.0
2017-04,Left ,52.0,5643.365384615385,3989.2837286658228,716.0,2394.0,5498.5,8136.0,19525.0
2017-04,Right ,37.0,3671.189189189189,1342.764226798126,1337.0,2554.0,3923.0,4713.0,5965.0
2017-05,Center ,18.0,5637.055555555556,4191.1824454263115,468.0,3403.0,5459.5,6556.75,18705.0
2017-05,Left ,61.0,6366.3442622950815,3912.505173096669,887.0,3455.0,5843.0,8075.0,18092.0
2017-05,Right ,40.0,4083.65,2745.8513186446507,705.0,2018.25,3739.0,5308.75,14962.0
2017-06,Center ,32.0,4624.125,2812.747121759747,530.0,2536.0,4285.0,6531.5,11663.0
2017-06,Left ,67.0,5492.686567164179,3826.622770082491,446.0,2259.0,4837.0,7633.5,14481.0
2017-06,Right ,46.0,3585.6739130434785,1943.7916904207593,783.0,2107.25,3150.0,4433.0,9355.0
2017-07,Center ,44.0,4415.977272727273,2381.6934222546347,485.0,2707.25,4478.0,6217.25,10089.0
2017-07,Left ,48.0,3732.2291666666665,3154.563248183618,393.0,1465.0,2265.5,5489.0,11827.0
2017-07,Right ,48.0,3748.6666666666665,1853.3728349277776,1115.0,2113.25,3540.5,4770.25,8554.0
2017-08,Center ,52.0,4038.230769230769,2686.4533994227377,433.0,1753.0,3820.5,5755.5,11072.0
2017-08,Left ,51.0,4234.117647058823,3184.1650625999837,570.0,2005.5,2992.0,5930.5,12656.0
2017-08,Right ,44.0,3581.7272727272725,2293.430287152762,846.0,2074.0,2985.5,4703.75,10463.0
2017-09,Center ,45.0,4527.0,2431.674591342727,455.0,2175.0,4772.0,6218.0,9263.0
2017-09,Left ,48.0,4927.0,3877.3940305423057,303.0,2048.25,4061.5,6642.25,16384.0
2017-09,Right ,46.0,3435.2608695652175,1807.6891133252925,709.0,2024.5,3029.0,4564.5,6889.0
2017-10,Center ,53.0,3768.9056603773583,2400.7833758696265,343.0,1931.0,3607.0,5150.0,9787.0
2017-10,Left ,54.0,5019.944444444444,2714.059046205389,649.0,2707.0,4686.5,7337.5,12558.0
2017-10,Right ,52.0,3389.3076923076924,1536.6747080534128,585.0,2234.5,3161.5,4405.25,8099.0
